"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"4","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","9","20","9","491","96","5035","500"
"11","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","12","490","112","5035","500"
"12","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","7","21","13","493","81","5300","500"
"9","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","11","21","11","489","116","5300","500"
"8","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","23","488","129","5035","500"
"10","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","8","20","10","492","87","5035","500"
"3","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","8","490","144","5035","500"
"2","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","14","21","10","486","103","5300","500"
"7","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","16","21","5","484","84","5300","500"
"1","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","8","490","78","5300","500"
"5","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","7","21","31","493","214","5300","500"
"6","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","14","21","16","486","133","5300","500"
"14","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","421","14","22","17","486","112","5300","500"
"15","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","13","20","11","487","69","5035","500"
"13","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","7","21","18","493","149","5300","500"
"16","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","7","490","104","5035","500"
"18","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","8","20","21","492","165","5035","500"
"17","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","19","489","152","5035","500"
"21","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","421","8","22","8","492","120","5565","500"
"20","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","15","20","11","485","185","5035","500"
"23","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","13","21","24","487","167","5300","500"
"19","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","18","490","146","5300","500"
"24","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","16","21","18","484","167","5300","500"
"22","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","421","14","22","11","486","95","5565","500"
"25","true","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","11","488","144","5035","500"
